State,Country,Time,Imports
Illinois,Guatemala,2016,"21,024,497"
Illinois,Belize,2016,"98,684"
Illinois,El Salvador,2016,"6,833,451"
Illinois,Honduras,2016,"15,661,746"
Illinois,Nicaragua,2016,"324,309,049"
Illinois,Costa Rica,2016,"361,558,606"
Illinois,Panama,2016,"29,417,772"
Illinois,Bermuda,2016,"207,783"
Illinois,Bahamas,2016,"10,828,790"
Illinois,Jamaica,2016,"42,562,020"
Illinois,Dominican Republic,2016,"200,107,207"
Illinois,Turks And Caicos Islands,2016,"28,851"
Illinois,Cayman Islands,2016,"34,958"
Illinois,Haiti,2016,"6,530,489"
Illinois,Anguilla,2016,"53,443"
Illinois,British Virgin Islands,2016,"53,514"
Illinois,St Kitts And Nevis,2016,"649,167"
Illinois,Antigua And Barbuda,2016,"10,886"
Illinois,Montserrat,2016,"30,618"
Illinois,Dominica,2016,"127,672"
Illinois,St Lucia,2016,"8,183"
Illinois,Grenada,2016,"86,203"
Illinois,Barbados,2016,"791,242"
Illinois,Trinidad And Tobago,2016,"3,694,066"
Illinois,Sint Maarten,2016,"135,870"
Illinois,Curacao,2016,"133,499"
Illinois,Aruba,2016,"38,272"
Illinois,Guadeloupe,2016,"76,090"
Illinois,Martinique,2016,"2,591"
Illinois,Colombia,2016,"41,586,403"
Illinois,Venezuela,2016,"3,032,544"
Illinois,Guyana,2016,"86,961"
Illinois,Suriname,2016,"51,385"
Illinois,French Guiana,2016,"12,775"
Illinois,Ecuador,2016,"52,322,219"
Illinois,Peru,2016,"44,421,630"
Illinois,Bolivia,2016,"1,948,158"
Illinois,Chile,2016,"242,100,703"
Illinois,Brazil,2016,"1,530,921,461"
Illinois,Paraguay,2016,"4,601,839"
Illinois,Uruguay,2016,"10,126,006"
Illinois,Argentina,2016,"90,468,639"
Illinois,Iceland,2016,"15,131,476"
Illinois,Sweden,2016,"500,175,989"
Illinois,Norway,2016,"184,196,222"
Illinois,Finland,2016,"188,302,271"
Illinois,Faroe Islands,2016,"3,470,474"
Illinois,Denmark,2016,"236,341,175"
Illinois,United Kingdom,2016,"2,590,118,953"
Illinois,Ireland,2016,"1,265,741,502"
Illinois,Netherlands,2016,"745,149,366"
Illinois,Belgium,2016,"1,175,539,784"
Illinois,Luxembourg,2016,"24,522,961"
Illinois,Andorra,2016,"3,123"
Illinois,Monaco,2016,"336,868"
Illinois,France,2016,"1,705,164,710"
Illinois,Germany,2016,"4,974,315,550"
Illinois,Austria,2016,"384,414,866"
Illinois,Czech Republic,2016,"159,803,864"
Illinois,Slovakia,2016,"29,141,950"
Illinois,Hungary,2016,"116,237,784"
Illinois,Liechtenstein,2016,"1,483,295"
Illinois,Switzerland,2016,"1,686,389,170"
Illinois,Estonia,2016,"11,912,149"
Illinois,Latvia,2016,"13,328,648"
Illinois,Lithuania,2016,"25,377,462"
Illinois,Poland,2016,"392,157,716"
Illinois,Russia,2016,"323,536,302"
Illinois,Belarus,2016,"1,969,500"
Illinois,Ukraine,2016,"29,269,440"
Illinois,Armenia,2016,"5,405,820"
Illinois,Kyrgyzstan,2016,"554,755"
Illinois,Azerbaijan,2016,"443,361"
Illinois,Georgia,2016,"278,473"
Illinois,Kazakhstan,2016,"7,284,588"
Illinois,Moldova,2016,"1,311,947"
Illinois,Turkmenistan,2016,"32,206"
Illinois,Uzbekistan,2016,"2,685,079"
Illinois,Spain,2016,"542,974,678"
Illinois,Portugal,2016,"78,004,571"
Illinois,Malta,2016,"6,170,493"
Illinois,San Marino,2016,"2,875"
Illinois,Vatican City,2016,"2,268"
Illinois,Italy,2016,"2,158,562,325"
Illinois,Croatia,2016,"127,198,675"
Illinois,Slovenia,2016,"31,545,420"
Illinois,Bosnia And Herzegovina,2016,"1,215,246"
Illinois,Macedonia,2016,"4,450,078"
Illinois,Serbia,2016,"14,169,986"
Illinois,Kosovo,2016,"83,573"
Illinois,Montenegro,2016,"299,004"
Illinois,Albania,2016,"490,932"
Illinois,Greece,2016,"57,988,079"
Illinois,Romania,2016,"66,292,444"
Illinois,Bulgaria,2016,"36,741,709"
Illinois,Turkey,2016,"330,392,969"
Illinois,Cyprus,2016,"428,956"
Illinois,Syria,2016,"42,993"
Illinois,Lebanon,2016,"5,295,420"
Illinois,Iraq,2016,"13,000"
