state,id,time,imports,exports,total_trade_activity,trade_balance
Puerto Rico,PR,2023,27,22.5,49.5,-4.5
Rhode Island,RI,2023,10.1,3,13.1,-7.1
South Carolina,SC,2023,54.1,37.3,91.4,-16.8
South Dakota,SD,2023,1.7,2.4,4.1,0.7
Tennessee,TN,2023,107,38.4,145.4,-68.6
Texas,TX,2023,381.6,449.4,831,67.8
Utah,UT,2023,18.6,17.4,36,-1.2
Vermont,VT,2023,3.8,2,5.8,-1.8
Virginia,VA,2023,33.9,22.4,56.3,-11.5
US Virgin Islands,VI,2023,0.4,3.2,3.6,2.8
Washington,WA,2023,66.1,61,127.1,-5.1
West Virginia,WV,2023,4.8,5.7,10.5,0.9
Wisconsin,WI,2023,39.1,28,67.1,-11.1
Wyoming,WY,2023,1,2.2,3.2,1.2
Alabama,AL,2024,38.7,26.9,65.6,-11.8
Alaska,AK,2024,3.6,5.9,9.5,2.3
Arizona,AZ,2024,42.2,32.4,74.6,-9.8
Arkansas,AR,2024,7.2,6.9,14.1,-0.3
California,CA,2024,491.5,183.9,675.4,-307.6
Colorado,CO,2024,16.8,10.6,27.4,-6.2
Connecticut,CT,2024,22.8,17.4,40.2,-5.4
Delaware,DE,2024,10.6,4.8,15.4,-5.8
Dist of Columbia,DC,2024,1.7,2.7,4.4,1
Florida,FL,2024,117,72.4,189.4,-44.6
Georgia,GA,2024,145.6,53.4,199,-92.2
Hawaii,HI,2024,2.3,0.5,2.8,-1.8
Idaho,ID,2024,8.9,4.3,13.2,-4.6
Illinois,IL,2024,218.1,81.8,299.9,-136.3
Indiana,IN,2024,106.7,60.2,166.9,-46.5
Iowa,IA,2024,12.5,17.1,29.6,4.6
Kansas,KS,2024,14.5,14.5,29,0
Kentucky,KY,2024,94.5,47.9,142.4,-46.6
Louisiana,LA,2024,31.4,86.6,118,55.2
Maine,ME,2024,6.8,3.1,9.9,-3.7
Maryland,MD,2024,42.7,17.9,60.6,-24.8
Massachusetts,MA,2024,43.3,35,78.3,-8.3
Michigan,MI,2024,173,62.6,235.6,-110.4
Minnesota,MN,2024,40.6,26.9,67.5,-13.7
Mississippi,MS,2024,21.4,13.9,35.3,-7.5
Missouri,MO,2024,24.3,19.3,43.6,-5
Montana,MT,2024,7.4,2.4,9.8,-5
Nebraska,NE,2024,6,8.2,14.2,2.2
Nevada,NV,2024,18.8,10.4,29.2,-8.4
New Hampshire,NH,2024,10.2,7.1,17.3,-3.1
New Jersey,NJ,2024,153.1,43.1,196.2,-110
New Mexico,NM,2024,9.1,12,21.1,2.9
New York,NY,2024,159.8,94,253.8,-65.8
North Carolina,NC,2024,87.6,43,130.6,-44.6
North Dakota,ND,2024,4.3,6.8,11.1,2.5
Ohio,OH,2024,86.8,57.4,144.2,-29.4
Oklahoma,OK,2024,17.9,7.8,25.7,-10.1
Oregon,OR,2024,28.2,33.9,62.1,5.7
Pennsylvania,PA,2024,127.3,53.5,180.8,-73.8
Puerto Rico,PR,2024,25.5,24.8,50.3,-0.7
Rhode Island,RI,2024,11.1,3.1,14.2,-8
South Carolina,SC,2024,58.1,38,96.1,-20.1
South Dakota,SD,2024,1.7,2.1,3.8,0.4
Tennessee,TN,2024,120.5,39.4,159.9,-81.1
Texas,TX,2024,396.9,454.4,851.3,57.5
Utah,UT,2024,21.9,18.2,40.1,-3.7
Vermont,VT,2024,3.5,1.9,5.4,-1.6
Virginia,VA,2024,40.7,21.8,62.5,-18.9
US Virgin Islands,VI,2024,0.3,2.4,2.7,2.1
Washington,WA,2024,61.6,57.8,119.4,-3.8
West Virginia,WV,2024,4.8,4.9,9.7,0.1
Wisconsin,WI,2024,38.8,27.8,66.6,-11
Wyoming,WY,2024,1.3,2.1,3.4,0.8
Alabama,AL,2025,34.9,23.7,58.6,-11.2
Alaska,AK,2025,3.1,6.7,9.8,3.6
Arizona,AZ,2025,57.4,44.4,101.8,-13
Arkansas,AR,2025,6.7,6.6,13.3,-0.1
California,CA,2025,488.2,188.4,676.6,-299.8
Colorado,CO,2025,16.4,11,27.4,-5.4
Connecticut,CT,2025,24,17.7,41.7,-6.3
Delaware,DE,2025,10.4,5.5,15.9,-4.9
Dist of Columbia,DC,2025,1.1,3.7,4.8,2.6
Florida,FL,2025,115.8,78.9,194.7,-36.9
Georgia,GA,2025,150.5,60.3,210.8,-90.2
Hawaii,HI,2025,2.8,0.4,3.2,-2.4
Idaho,ID,2025,7.1,4.6,11.7,-2.5
Illinois,IL,2025,211,80,291,-131
Indiana,IN,2025,153,68.8,221.8,-84.2
Iowa,IA,2025,12,16.2,28.2,4.2
Kansas,KS,2025,14,14.6,28.6,0.6
Kentucky,KY,2025,96.5,50.6,147.1,-45.9
Louisiana,LA,2025,33.7,93.4,127.1,59.7
Maine,ME,2025,6,3.2,9.2,-2.8
Maryland,MD,2025,41.4,16.5,57.9,-24.9
Massachusetts,MA,2025,43,38.8,81.8,-4.2
Michigan,MI,2025,167.2,58.3,225.5,-108.9
Minnesota,MN,2025,37.4,23.5,60.9,-13.9
Mississippi,MS,2025,23.1,14.2,37.3,-8.9
