commodity,state,time,country,total_import_values
211 Oil & Gas,California,2016,World Total,"12,524,201,414"
211 Oil & Gas,Colorado,2016,World Total,"1,332,570,780"
211 Oil & Gas,Connecticut,2016,World Total,"12,615,581"
211 Oil & Gas,Delaware,2016,World Total,"1,419,229,075"
211 Oil & Gas,Florida,2016,World Total,"21,084,248"
211 Oil & Gas,Georgia,2016,World Total,"22,672,788"
211 Oil & Gas,Hawaii,2016,World Total,"1,383,495,610"
211 Oil & Gas,Iowa,2016,World Total,"251,588,453"
211 Oil & Gas,Idaho,2016,World Total,"8,800,268"
211 Oil & Gas,Illinois,2016,World Total,"15,186,969,409"
211 Oil & Gas,Indiana,2016,World Total,"3,134,018"
211 Oil & Gas,Kansas,2016,World Total,"35,175,953"
211 Oil & Gas,Kentucky,2016,World Total,"2,159,508"
211 Oil & Gas,Louisiana,2016,World Total,"14,793,151,433"
211 Oil & Gas,Massachusetts,2016,World Total,"570,812,745"
211 Oil & Gas,Maryland,2016,World Total,"28,217,196"
211 Oil & Gas,Maine,2016,World Total,"49,398,016"
211 Oil & Gas,Michigan,2016,World Total,"2,608,330,030"
211 Oil & Gas,Minnesota,2016,World Total,"3,369,203,150"
211 Oil & Gas,Missouri,2016,World Total,"692,154,552"
211 Oil & Gas,Mississippi,2016,World Total,"1,824,538,646"
211 Oil & Gas,Montana,2016,World Total,"2,100,082,853"
211 Oil & Gas,North Carolina,2016,World Total,"1,999,676"
211 Oil & Gas,North Dakota,2016,World Total,"29,464,340"
211 Oil & Gas,Nebraska,2016,World Total,"363,521"
211 Oil & Gas,New Hampshire,2016,World Total,"9,651,713"
211 Oil & Gas,New Jersey,2016,World Total,"5,523,836,574"
211 Oil & Gas,New Mexico,2016,World Total,"3,026,153"
211 Oil & Gas,Nevada,2016,World Total,"6,718,224"
211 Oil & Gas,New York,2016,World Total,"1,350,868,584"
211 Oil & Gas,Ohio,2016,World Total,"587,630,842"
211 Oil & Gas,Oklahoma,2016,World Total,"1,646,763,869"
211 Oil & Gas,Oregon,2016,World Total,"21,776,702"
211 Oil & Gas,Pennsylvania,2016,World Total,"5,970,378,151"
211 Oil & Gas,Puerto Rico,2016,World Total,"427,618,131"
211 Oil & Gas,Rhode Island,2016,World Total,"246,291"
211 Oil & Gas,South Carolina,2016,World Total,"756,044"
211 Oil & Gas,South Dakota,2016,World Total,"20,219,491"
211 Oil & Gas,Tennessee,2016,World Total,"21,148,550"
211 Oil & Gas,Texas,2016,World Total,"27,649,051,189"
211 Oil & Gas,Utah,2016,World Total,"6,791,514"
211 Oil & Gas,Virginia,2016,World Total,"8,499,078"
211 Oil & Gas,US Virgin Islands,2016,World Total,"149,105,803"
211 Oil & Gas,Vermont,2016,World Total,"87,442,990"
211 Oil & Gas,Washington,2016,World Total,"5,212,443,770"
211 Oil & Gas,Wisconsin,2016,World Total,"66,332,708"
211 Oil & Gas,West Virginia,2016,World Total,"31,053"
211 Oil & Gas,Wyoming,2016,World Total,"328,292,674"
212 Minerals & Ores,Alaska,2016,World Total,"150,785,863"
212 Minerals & Ores,Alabama,2016,World Total,"187,483,692"
212 Minerals & Ores,Arkansas,2016,World Total,"13,593,458"
212 Minerals & Ores,Arizona,2016,World Total,"12,767,877"
212 Minerals & Ores,California,2016,World Total,"124,683,181"
212 Minerals & Ores,Colorado,2016,World Total,"12,002,483"
212 Minerals & Ores,Connecticut,2016,World Total,"38,725,077"
212 Minerals & Ores,Dist of Columbia,2016,World Total,"19,267"
212 Minerals & Ores,Delaware,2016,World Total,"12,760,497"
212 Minerals & Ores,Florida,2016,World Total,"249,509,116"
212 Minerals & Ores,Georgia,2016,World Total,"129,350,383"
212 Minerals & Ores,Hawaii,2016,World Total,"59,687,479"
212 Minerals & Ores,Iowa,2016,World Total,"6,507,857"
212 Minerals & Ores,Idaho,2016,World Total,"14,381,574"
212 Minerals & Ores,Illinois,2016,World Total,"360,747,539"
212 Minerals & Ores,Indiana,2016,World Total,"82,208,163"
212 Minerals & Ores,Kansas,2016,World Total,"42,372,753"
212 Minerals & Ores,Kentucky,2016,World Total,"23,622,603"
212 Minerals & Ores,Louisiana,2016,World Total,"681,909,280"
212 Minerals & Ores,Massachusetts,2016,World Total,"85,201,377"
212 Minerals & Ores,Maryland,2016,World Total,"284,201,329"
212 Minerals & Ores,Maine,2016,World Total,"31,017,480"
212 Minerals & Ores,Michigan,2016,World Total,"76,150,431"
212 Minerals & Ores,Minnesota,2016,World Total,"46,058,456"
212 Minerals & Ores,Missouri,2016,World Total,"7,101,132"
212 Minerals & Ores,Mississippi,2016,World Total,"57,575,531"
212 Minerals & Ores,Montana,2016,World Total,"1,246,614"
212 Minerals & Ores,North Carolina,2016,World Total,"83,109,273"
212 Minerals & Ores,North Dakota,2016,World Total,"10,865,011"
212 Minerals & Ores,Nebraska,2016,World Total,"1,193,485"
212 Minerals & Ores,New Hampshire,2016,World Total,"23,024,182"
212 Minerals & Ores,New Jersey,2016,World Total,"95,759,181"
212 Minerals & Ores,New Mexico,2016,World Total,"1,524,978"
212 Minerals & Ores,Nevada,2016,World Total,"22,067,104"
212 Minerals & Ores,New York,2016,World Total,"78,613,916"
212 Minerals & Ores,Ohio,2016,World Total,"146,371,431"
212 Minerals & Ores,Oklahoma,2016,World Total,"43,397,519"
212 Minerals & Ores,Oregon,2016,World Total,"27,412,347"
212 Minerals & Ores,Pennsylvania,2016,World Total,"153,646,482"
212 Minerals & Ores,Puerto Rico,2016,World Total,"173,913,299"
212 Minerals & Ores,Rhode Island,2016,World Total,"8,706,687"
212 Minerals & Ores,South Carolina,2016,World Total,"22,928,257"
212 Minerals & Ores,South Dakota,2016,World Total,"517,539"
212 Minerals & Ores,Tennessee,2016,World Total,"41,201,650"
212 Minerals & Ores,Texas,2016,World Total,"378,654,811"
212 Minerals & Ores,Utah,2016,World Total,"28,330,617"
212 Minerals & Ores,Virginia,2016,World Total,"54,642,551"
212 Minerals & Ores,US Virgin Islands,2016,World Total,"23,380"
212 Minerals & Ores,Vermont,2016,World Total,"9,466,990"
212 Minerals & Ores,Washington,2016,World Total,"63,056,836"
212 Minerals & Ores,Wisconsin,2016,World Total,"20,680,105"
212 Minerals & Ores,West Virginia,2016,World Total,"12,962,957"
212 Minerals & Ores,Wyoming,2016,World Total,"258,633"
311 Food & Kindred Products,Alaska,2016,World Total,"15,842,447"
311 Food & Kindred Products,Alabama,2016,World Total,"165,418,793"
311 Food & Kindred Products,Arkansas,2016,World Total,"102,651,335"
311 Food & Kindred Products,Arizona,2016,World Total,"300,093,112"
311 Food & Kindred Products,California,2016,World Total,"10,850,443,975"
311 Food & Kindred Products,Colorado,2016,World Total,"383,807,754"
311 Food & Kindred Products,Connecticut,2016,World Total,"377,296,482"
311 Food & Kindred Products,Dist of Columbia,2016,World Total,"40,005,417"
311 Food & Kindred Products,Delaware,2016,World Total,"121,231,943"
311 Food & Kindred Products,Florida,2016,World Total,"2,301,251,900"
311 Food & Kindred Products,Georgia,2016,World Total,"2,356,127,267"
311 Food & Kindred Products,Hawaii,2016,World Total,"94,508,579"
311 Food & Kindred Products,Iowa,2016,World Total,"409,663,516"
311 Food & Kindred Products,Idaho,2016,World Total,"251,284,970"
311 Food & Kindred Products,Illinois,2016,World Total,"4,566,233,390"
311 Food & Kindred Products,Indiana,2016,World Total,"609,359,589"
311 Food & Kindred Products,Kansas,2016,World Total,"491,584,279"
311 Food & Kindred Products,Kentucky,2016,World Total,"281,148,230"
311 Food & Kindred Products,Louisiana,2016,World Total,"821,443,171"
311 Food & Kindred Products,Massachusetts,2016,World Total,"849,469,036"
311 Food & Kindred Products,Maryland,2016,World Total,"1,182,829,386"
311 Food & Kindred Products,Maine,2016,World Total,"153,793,590"
311 Food & Kindred Products,Michigan,2016,World Total,"1,054,147,978"
311 Food & Kindred Products,Minnesota,2016,World Total,"398,040,596"
311 Food & Kindred Products,Missouri,2016,World Total,"455,678,458"
311 Food & Kindred Products,Mississippi,2016,World Total,"60,309,717"
311 Food & Kindred Products,Montana,2016,World Total,"32,432,595"
311 Food & Kindred Products,North Carolina,2016,World Total,"411,981,263"
311 Food & Kindred Products,North Dakota,2016,World Total,"52,458,925"
311 Food & Kindred Products,Nebraska,2016,World Total,"188,477,732"
311 Food & Kindred Products,New Hampshire,2016,World Total,"94,577,395"
311 Food & Kindred Products,New Jersey,2016,World Total,"9,282,874,111"
311 Food & Kindred Products,New Mexico,2016,World Total,"47,964,761"
311 Food & Kindred Products,Nevada,2016,World Total,"175,355,554"
311 Food & Kindred Products,New York,2016,World Total,"4,237,574,356"
311 Food & Kindred Products,Ohio,2016,World Total,"1,087,534,526"
311 Food & Kindred Products,Oklahoma,2016,World Total,"88,037,541"
311 Food & Kindred Products,Oregon,2016,World Total,"430,704,225"
311 Food & Kindred Products,Pennsylvania,2016,World Total,"3,192,968,317"
311 Food & Kindred Products,Puerto Rico,2016,World Total,"660,579,433"
311 Food & Kindred Products,Rhode Island,2016,World Total,"56,559,882"
311 Food & Kindred Products,South Carolina,2016,World Total,"320,731,512"
311 Food & Kindred Products,South Dakota,2016,World Total,"197,932,319"
311 Food & Kindred Products,Tennessee,2016,World Total,"510,116,468"
311 Food & Kindred Products,Texas,2016,World Total,"4,425,730,121"
311 Food & Kindred Products,Utah,2016,World Total,"282,343,115"
311 Food & Kindred Products,Virginia,2016,World Total,"724,076,453"
311 Food & Kindred Products,US Virgin Islands,2016,World Total,"14,310,442"
311 Food & Kindred Products,Vermont,2016,World Total,"506,705,469"
311 Food & Kindred Products,Washington,2016,World Total,"1,388,790,717"
311 Food & Kindred Products,Wisconsin,2016,World Total,"793,561,591"
311 Food & Kindred Products,West Virginia,2016,World Total,"2,163,085"
311 Food & Kindred Products,Wyoming,2016,World Total,"7,018,355"
312 Beverages & Tobacco Products,Alaska,2016,World Total,"555,844"
312 Beverages & Tobacco Products,Alabama,2016,World Total,"32,122,422"
312 Beverages & Tobacco Products,Arkansas,2016,World Total,"55,803,152"
312 Beverages & Tobacco Products,Arizona,2016,World Total,"183,358,465"
312 Beverages & Tobacco Products,California,2016,World Total,"4,734,466,720"
312 Beverages & Tobacco Products,Colorado,2016,World Total,"160,398,076"
312 Beverages & Tobacco Products,Connecticut,2016,World Total,"226,312,381"
312 Beverages & Tobacco Products,Dist of Columbia,2016,World Total,"53,156,356"
312 Beverages & Tobacco Products,Delaware,2016,World Total,"37,413,749"
312 Beverages & Tobacco Products,Florida,2016,World Total,"2,650,873,224"
312 Beverages & Tobacco Products,Georgia,2016,World Total,"426,046,397"
312 Beverages & Tobacco Products,Hawaii,2016,World Total,"46,728,143"
312 Beverages & Tobacco Products,Iowa,2016,World Total,"6,305,978"
312 Beverages & Tobacco Products,Idaho,2016,World Total,"13,190,858"
312 Beverages & Tobacco Products,Illinois,2016,World Total,"3,059,070,025"
312 Beverages & Tobacco Products,Indiana,2016,World Total,"227,660,570"
312 Beverages & Tobacco Products,Kansas,2016,World Total,"123,782,275"
312 Beverages & Tobacco Products,Kentucky,2016,World Total,"432,395,732"
312 Beverages & Tobacco Products,Louisiana,2016,World Total,"104,681,756"
312 Beverages & Tobacco Products,Massachusetts,2016,World Total,"497,781,131"
312 Beverages & Tobacco Products,Maryland,2016,World Total,"342,797,054"
312 Beverages & Tobacco Products,Maine,2016,World Total,"21,433,389"
312 Beverages & Tobacco Products,Michigan,2016,World Total,"140,036,215"
312 Beverages & Tobacco Products,Minnesota,2016,World Total,"186,611,725"
312 Beverages & Tobacco Products,Missouri,2016,World Total,"528,174,433"
312 Beverages & Tobacco Products,Mississippi,2016,World Total,"5,989,089"
312 Beverages & Tobacco Products,Montana,2016,World Total,"41,815,605"
312 Beverages & Tobacco Products,North Carolina,2016,World Total,"110,012,454"
312 Beverages & Tobacco Products,North Dakota,2016,World Total,"6,468,706"
312 Beverages & Tobacco Products,Nebraska,2016,World Total,"21,881,421"
312 Beverages & Tobacco Products,New Hampshire,2016,World Total,"28,242,718"
312 Beverages & Tobacco Products,New Jersey,2016,World Total,"2,188,823,910"
312 Beverages & Tobacco Products,New Mexico,2016,World Total,"16,280,440"
