State,Country,Time,Exports
Arizona,Libya,2016,"99,700"
Arizona,Egypt,2016,"13,240,761"
Arizona,Sudan,2016,"17,645"
Arizona,South Sudan,2016,"105,105"
Arizona,Equatorial Guinea,2016,"309,168"
Arizona,Mauritania,2016,"789,537"
Arizona,Cameroon,2016,"596,703"
Arizona,Senegal,2016,"3,465,143"
Arizona,Mali,2016,"1,149,575"
Arizona,Guinea,2016,"308,398"
Arizona,Sierra Leone,2016,"125,000"
Arizona,Cote D'ivoire,2016,"2,769,770"
Arizona,Ghana,2016,"9,127,700"
Arizona,Gambia,2016,"84,899"
Arizona,Niger,2016,"354,777"
Arizona,Togo,2016,"85,456"
Arizona,Nigeria,2016,"10,393,632"
Arizona,Central African Republic,2016,"32,037"
Arizona,Gabon,2016,"155,541"
Arizona,Chad,2016,"43,210"
Arizona,Burkina Faso,2016,"496,701"
Arizona,Benin,2016,"815,041"
Arizona,Angola,2016,"714,665"
Arizona,Congo,2016,"8,428"
Arizona,Guinea-bissau,2016,"32,007"
Arizona,Liberia,2016,"128,503"
Arizona,Democratic Republic Of The Congo,2016,"1,814,512"
Arizona,Burundi,2016,"5,000"
Arizona,Rwanda,2016,"631,654"
Arizona,Eritrea,2016,"32,050"
Arizona,Ethiopia,2016,"10,830,851"
Arizona,Djibouti,2016,"41,064"
Arizona,Uganda,2016,"361,756"
Arizona,Kenya,2016,"3,480,402"
Arizona,Seychelles,2016,"173,197"
Arizona,British Indian Ocean Territories,2016,"14,815"
Arizona,Tanzania,2016,"2,904,332"
Arizona,Mauritius,2016,"890,562"
Arizona,Mozambique,2016,"44,762"
Arizona,Madagascar,2016,"153,842"
Arizona,Mayotte,2016,"227,481"
Arizona,French Southern And Antarctic Lands,2016,"25,948"
Arizona,South Africa,2016,"43,527,662"
Arizona,Namibia,2016,"849,483"
Arizona,Botswana,2016,"472,213"
